MAIN_ID,RA,DEC,Distance_distance,FLUX_V
WRAY 16-100,11 48 38.0955,-65 08 36.445,6.811,13.036
2MASS J00425705+4053487,00 42 57.0521,+40 53 48.830,945.09,14.69
NGC  2440,07 41 55.4,-18 12 32,1.476,10.104
WRAY 15-1585,16 59 36.1292,-51 42 08.621,10.27,14.3
PN Cn  1-5,18 29 11.6500,-31 29 59.135,5.586,15.2
SH  1-118,00 07 20.1377,+64 57 21.256,1161.0,13.87
Ve 6-22,08 59 15.8986,-45 35 35.145,2684.564,15.5
HD 281789,04 13 20.0244,+31 10 47.282,326.627,10.16
WRAY 16-223,16 29 53.2961,-53 23 14.437,2.824,14.5
NGC  4071,12 04 14.7015,-67 18 36.458,1.614,14.0
PN Hb    7,18 55 37.8037,-32 15 48.553,8.203,11.65
V* V2116 Oph,17 32 02.1532,-24 44 44.129,4.5,18.4
WRAY 16-40,09 18 01.3172,-54 39 29.165,3.383,15.0
HD 250550,06 01 59.9892,+16 30 56.727,760.283,9.593
WRAY 16-142,13 58 13.8998,-58 54 31.584,4.947,14.0
NGC  3132,10 07 01.7656,-40 26 11.130,1.277,10.01
PN Y-C   47,18 37 25.8494,-24 26 36.893,1044.277,15.3
ESO  95-1,12 09 01.260,-63 15 59.63,1.206,16.0
NGC  6058,16 04 26.5481,+40 40 58.949,3.888,13.0
PN HFG    1,03 03 47.0096,+64 54 35.517,707.564,14.56
SH  2-78,19 03 10.0757,+14 06 58.775,698.422,17.66
WRAY 17-94,17 40 12.84,-26 44 21.9,9.65,16.0
SS 438,19 14 59.7259,+17 22 46.027,1586.294,13.582
PN SwSt    1,18 16 12.2834,-30 52 07.906,2.853,11.1
PN M  2-22,17 58 32.58,-33 28 36.8,8.645,15.5
WRAY 16-222,16 29 31.00,-59 09 24.0,4.827,14.5
PN M  1-29,17 50 17.9658,-30 34 54.987,4.175,14.0
PN H  1-55,18 07 14.5591,-29 41 24.652,6.695,16.3
V* AG Car,10 56 11.5781,-60 27 12.810,5194.805,6.96
EM* MWC  137,06 18 45.5220,+15 16 52.244,1091.0,13.759
PN A66   65,19 46 34.2091,-23 08 12.966,1.69,15.77
PN H  2-1,17 04 36.2535,-33 59 18.777,5.816,13.25
PN M  2-39,18 22 01.1620,-24 10 39.916,12.22,15.0
IC 4599,16 19 23.2088,-42 15 36.708,3.184,12.7
PN M  4-9,18 14 18.41,-04 59 22.1,1.819,16.6
Hen 2-178,16 42 33.4932,-38 54 40.139,3292.723,13.95
PN Vy  2-2,19 24 22.2390,+09 53 56.259,4.394,12.65
PN Cn  3-1,18 17 34.1015,+10 09 03.304,6.508,12.49
PN M  2-24,18 02 02.8945,-34 27 47.275,9.456,14.6
PN M  1-1,01 37 19.3623,+50 28 11.344,8.094,13.91
PN K  3-76,20 25 04.8731,+33 34 50.493,9.434,15.7
PN K  1-13,08 06 46.5011,-02 52 35.181,0.766,18.425
PN Hb    5,17 47 56.20,-29 59 39.6,1.706,10.78
IC 2165,06 21 42.7847,-12 59 14.040,3.696,10.782
SH  2-188,01 30 33.1778,+58 24 50.325,943.485,17.447
PN H  1-47,18 00 37.6202,-29 21 50.638,8.938,15.6
PN M  1-30,17 52 58.95,-34 38 22.6,7.128,16.4
NGC  6842,19 55 02.1,+29 17 22,1.249,16.0
PN K  1-24,14 38 15.8937,-44 13 05.466,3324.468,12.61
PN M  2-31,18 13 16.0521,-25 30 05.320,6.376,13.6
[RP2006]  913,05 32 12.4968,-68 39 24.549,282.574,18.93
PN PC   17,17 35 41.7341,-46 59 49.273,8.275,13.3
PN M  3-44,17 51 18.9230,-30 23 53.176,7.512,16.5
PN PuWe    1,06 19 33.9428,+55 36 43.907,0.46,15.545
NGC  6778,19 18 25.0,-01 35 47,3.187,14.8
WRAY 16-57,09 41 37.4988,-49 57 58.588,7.502,13.95
2MASS J00402623+4138472,00 40 26.2315,+41 38 47.219,1094.571,14.2
PN G102.9-02.3,22 26 17.2674,+54 49 38.244,1.826,16.965
PN A66   24,07 51 37.5535,+03 00 21.156,0.536,17.18
WRAY 16-162,15 05 16.80,-55 11 10.5,4.719,14.5
PN H  1-23,17 32 46.92,-30 00 14.9,9.863,16.0
WRAY 16-226,16 34 04.2423,-35 05 26.739,5.754,14.8
LS 3235,14 24 32.3538,-51 38 39.090,2483.855,12.96
PN SB   27,16 19 14.0367,-37 47 27.911,154.024,15.039
