MAIN_ID,RA,DEC,Distance_distance
WRAY 16-190,15 52 10.6705,-62 30 47.205,4.992
PN M  1-53,18 35 48.267,-17 36 08.71,5.739
V* V448 Lac,22 24 31.4283,+43 43 10.978,3007.52
PN A66   54,19 08 39.5143,+22 58 59.537,2.768
PN PC   19,18 24 44.5255,+02 29 28.004,4.002
[CJH91] NGC 1023 h,02 40 37.9870,+39 05 28.109,1023.751
WRAY 16-194,15 58 08.1032,-55 41 50.351,7.048
WeBo 1,02 40 14.3689,+61 09 16.795,1573.812
WRAY 16-72,10 34 19.091,-53 41 03.11,5.21
PN M  1-5,05 46 50.0119,+24 22 02.848,7.186
[CJF89] NGC 3377 a,10 47 50.5058,+13 58 50.254,2535.497
PN K  4-30,19 33 09.0268,+22 58 33.635,11280.0
PN K  3-17,18 56 18.164,+07 07 25.88,2.215
PN M  4-18,04 25 50.8356,+60 07 12.780,8.959
PN M  3-12,17 36 22.634,-21 31 12.22,7.87
PN H  2-48,18 46 35.1182,-23 26 48.261,7.011
PN K  3-11,18 41 07.311,-08 55 58.97,10.92
PN M  3-36,17 12 39.1651,-25 43 37.502,14.41
PN M  2-27,18 03 52.5718,-31 17 47.161,12.54
PHR J0701-0749,07 01 09.4098,-07 49 23.880,3135.779
PN KFL   11,18 10 12.244,-27 16 35.00,15.41
PN K  3-52,20 03 11.44,+30 32 34.1,5.248
PN M  3-39,17 21 11.49,-27 11 36.3,2.122
PN M  1-32,17 56 20.11,-16 29 04.6,4.796
PN H  1-16,17 29 23.4288,-26 26 05.773,6.28
WRAY 16-74,10 35 45.7221,-64 19 11.562,4.435
NGC  6804,19 31 35.1453,+09 13 31.298,1.636
IRAS 15154-5258,15 19 08.7609,-53 09 49.732,3342.25
ESO  40-11,13 34 14.3324,-75 46 31.289,2313.208
PN M  2-10,17 14 07.0266,-31 19 42.983,10.41
PN Sp    1,15 51 40.9510,-51 31 28.545,1.206
V* V807 Cas,23 12 12.9830,+59 35 59.128,2773.156
PN M  3-30,18 41 14.938,-15 33 43.58,4.536
PN K  1-4,17 40 27.52,-27 01 02.1,1.965
PN M  4-11,18 54 17.671,-10 05 14.49,3.981
PN Mz    1,15 34 16.6410,-59 09 08.105,2.681
V* R Scl,01 26 58.0939,-32 32 35.439,393.128
NGC  3211,10 17 50.544,-62 40 12.10,2.934
MCG-01-19-001,07 22 10.8823,-05 55 46.923,17.3
Hen 2-434,19 33 49.3653,-74 32 58.655,5.113
MWP 1,21 17 08.2817,+34 12 27.415,502.386
PN Vy  1-2,17 54 22.98,+27 59 58.1,9.106
PN H  1-7,17 10 27.3823,-41 52 49.392,1043.406
PN K  3-91,01 58 36.2694,+66 33 58.497,8.618
[CJF89] NGC 3379 a,10 48 00.5651,+12 37 05.289,1184.553
NGC  7094,21 36 52.9687,+12 47 19.099,1.382
PN H  1-63,18 16 19.3441,-30 07 36.067,7.46
PN M  3-7,17 24 34.4529,-29 24 19.796,6.394
PN M  1-18,07 42 04.167,-14 21 13.27,4.484
PN M  3-6,08 40 40.2260,-32 22 33.595,4.271
PN Hb    8,19 05 35.9385,-33 11 38.011,9.346
ESO  89-5,07 50 38.0873,-64 15 46.878,666.445
WRAY 16-152,14 20 48.92,-55 27 59.2,6.447
NGC  2792,09 12 26.561,-42 25 38.92,3.086
PN A66    4,02 45 23.9,+42 33 03,5.686
[DLW84] G35.2S,18 58 10.4846,+01 36 57.226,1.505
PN M  3-4,07 55 11.3981,-23 38 12.606,6.466
NGC  2818A,09 16 01.4901,-36 37 37.516,2.511
PN M  2-49,21 43 17.60,+50 25 14.4,7.012
PN Hb   12,23 26 14.8236,+58 10 54.543,14.25
Hen 1-6,20 17 21.424,+25 21 46.78,4.136
[FHC96] S1601,12 39 51.6754,-11 35 58.223,174.737
PN A66   32,09 16 24.8,+03 53 26,1118.0
PN Y-C   40,07 50 02.8404,-17 52 03.422,1263.105
NGC  5844,15 10 40.60,-64 40 25.0,1.388
PN M  3-8,17 24 52.15,-28 05 54.6,7.289
PN BV    2,00 40 21.614,+62 51 34.28,8.132
WRAY 16-178,15 23 36.35,-53 51 28.1,10.53
PN K  3-42,19 39 35.785,+20 19 01.87,14.07
PN DeHt    2,17 41 40.9000,+03 06 57.542,1746.725
WRAY 16-100,11 48 38.0955,-65 08 36.445,6.811
[CJH91] NGC 1023 j,02 40 27.4049,+39 04 30.545,628.536
2MASS J00425705+4053487,00 42 57.0521,+40 53 48.830,945.09
PN Pe  1-19,18 49 44.643,-07 01 35.03,10.69
NGC  6881,20 10 52.45,+37 24 42.4,5.703
LBN   809,05 07 09.096,+30 49 28.13,1.083
NGC  2440,07 41 55.4,-18 12 32,1.476
PN K  1-10,07 12 35.493,-16 05 59.71,2.786
WRAY 15-1585,16 59 36.1292,-51 42 08.621,10.27
PN Cn  1-5,18 29 11.6500,-31 29 59.135,5.586
PN KFL    9,18 07 19.381,-31 42 56.95,6.749
SH  1-118,00 07 20.1377,+64 57 21.256,1161.0
Ve 6-22,08 59 15.8986,-45 35 35.145,2684.564
PN KFL    4,18 02 51.67,-27 40 59.6,18.88
PN A66   67,19 58 27.0218,+03 03 00.009,2.035
HD 281789,04 13 20.0244,+31 10 47.282,326.627
Jonckheere  320,05 05 34.2777,+10 42 22.924,6.645
[RP2006] J053644-673259,05 36 44.5201,-67 32 59.188,666.267
WRAY 16-223,16 29 53.2961,-53 23 14.437,2.824
NGC  4071,12 04 14.7015,-67 18 36.458,1.614
PN Hb    7,18 55 37.8037,-32 15 48.553,8.203
V* V2116 Oph,17 32 02.1532,-24 44 44.129,4.5
PN A66    9,05 28 56.7,+36 03 05,3999.0
WRAY 16-40,09 18 01.3172,-54 39 29.165,3.383
HD 250550,06 01 59.9892,+16 30 56.727,760.283
WRAY 16-142,13 58 13.8998,-58 54 31.584,4.947
PN K  3-60,21 27 26.4794,+57 39 06.170,9.755
PN M  1-62,18 50 26.0470,-22 34 22.707,10.36
NGC  3132,10 07 01.7656,-40 26 11.130,1.277
Hen 2-105,14 15 24.7806,-74 12 46.070,2.796
PN Y-C   47,18 37 25.8494,-24 26 36.893,1044.277
ESO  95-1,12 09 01.260,-63 15 59.63,1.206
PN M  1-9,07 05 19.2001,+02 46 59.452,11.71
[JCF89] a,09 55 15.7278,+69 05 15.496,1359.989
PN H  1-24,17 33 37.5822,-21 46 24.764,5.96
PN KjPn    6,22 49 02.1772,+67 01 38.252,9.203
PN K  3-87,22 55 06.9347,+56 42 31.022,9.399
PN M  1-28,17 47 38.3,-22 06 20,4.679
PN K  3-36,19 32 39.557,+07 27 51.57,11.56
NGC  6058,16 04 26.5481,+40 40 58.949,3.888
PN HFG    1,03 03 47.0096,+64 54 35.517,707.564
PN A66   80,22 34 45.6076,+52 26 05.830,1.564
HRDS G052.098+01.042,19 23 37.19,+17 29 01.2,7.5
SH  2-78,19 03 10.0757,+14 06 58.775,698.422
PN K  3-92,02 03 41.171,+64 57 37.88,7.221
WRAY 17-94,17 40 12.84,-26 44 21.9,9.65
SS 438,19 14 59.7259,+17 22 46.027,1586.294
PN SwSt    1,18 16 12.2834,-30 52 07.906,2.853
PN M  2-22,17 58 32.58,-33 28 36.8,8.645
WRAY 16-222,16 29 31.00,-59 09 24.0,4.827
[FHC96] S2202,12 39 51.8385,-11 35 15.014,1436.988
PN M  1-29,17 50 17.9658,-30 34 54.987,4.175
PN A66   73,20 56 27.032,+57 26 03.05,1.9
PN H  1-55,18 07 14.5591,-29 41 24.652,6.695
[CJF89] NGC 3379 c,10 47 41.8428,+12 37 45.162,118.113
PN K  3-58,20 21 58.279,+29 59 21.08,5.776
V* AG Car,10 56 11.5781,-60 27 12.810,5194.805
EM* MWC  137,06 18 45.5220,+15 16 52.244,1091.0
PN A66   65,19 46 34.2091,-23 08 12.966,1.69
PN H  2-1,17 04 36.2535,-33 59 18.777,5.816
PN M  2-39,18 22 01.1620,-24 10 39.916,12.22
2MASS J12311668+2547134,12 31 16.6815,+25 47 13.406,322.789
IC 4599,16 19 23.2088,-42 15 36.708,3.184
PN M  4-9,18 14 18.41,-04 59 22.1,1.819
Hen 2-178,16 42 33.4932,-38 54 40.139,3292.723
PN HDW    5,06 23 37.1527,-10 13 23.647,1077.818
PN Vy  2-2,19 24 22.2390,+09 53 56.259,4.394
PN Pe  2-5,10 28 34.6245,-59 03 23.363,1163.738
PN M  4-14,19 21 00.718,+07 36 52.37,7.55
PN Pe  2-3,09 10 16.7064,-44 24 32.010,2046.245
PN KFL   12,18 10 30.807,-28 19 22.91,16.98
PN Cn  3-1,18 17 34.1015,+10 09 03.304,6.508
PN M  2-24,18 02 02.8945,-34 27 47.275,9.456
PN M  1-1,01 37 19.3623,+50 28 11.344,8.094
PN K  3-76,20 25 04.8731,+33 34 50.493,9.434
PN M  1-60,18 43 38.0929,-13 44 49.280,9.516
PN Y-C   45,17 43 05.4174,+12 20 33.130,1285.68
Hen 2-432,19 23 24.8082,+21 08 00.382,7.057
PN M  2-36,18 17 41.43,-29 08 19.9,6.188
PN K  1-13,08 06 46.5011,-02 52 35.181,0.766
PN Hb    5,17 47 56.20,-29 59 39.6,1.706
PN M  4-13,19 13 38.4236,+14 59 19.157,6.736
PN M  1-20,17 28 57.6165,-19 15 54.033,7.998
PN MaC  1-14,18 41 13.0803,-13 11 43.109,2021.836
IC 2165,06 21 42.7847,-12 59 14.040,3.696
SH  2-188,01 30 33.1778,+58 24 50.325,943.485
PN H  1-47,18 00 37.6202,-29 21 50.638,8.938
PN M  1-30,17 52 58.95,-34 38 22.6,7.128
PN M  3-32,18 44 43.03,-25 21 34.8,6.703
PN K  4-41,19 56 34.027,+32 22 12.96,11.2
PN K  3-16,18 53 01.59,+12 16 00.2,7.282
PN A66   19,06 59 56.428,+14 36 33.97,2.337
NGC  6842,19 55 02.1,+29 17 22,1.249
PN K  1-24,14 38 15.8937,-44 13 05.466,3324.468
PN M  2-31,18 13 16.0521,-25 30 05.320,6.376
PN M  4-12,19 13 05.239,+15 46 39.80,7.553
[RP2006]  913,05 32 12.4968,-68 39 24.549,282.574
PN Th  3-21,17 29 59.8229,-30 38 26.448,1021.659
PN PC   17,17 35 41.7341,-46 59 49.273,8.275
PN Pe  1-12,18 17 42.379,-28 17 13.80,6.559
PN M  1-61,18 45 55.12,-14 27 37.9,5.396
PN M  3-44,17 51 18.9230,-30 23 53.176,7.512
PN K  3-48,19 52 09.126,+27 18 30.99,6201.0
