MAIN_ID,RA,DEC,Distance_distance
WRAY 16-181,15 25 07.8463,-51 19 42.135,6.774
PN SaSt  2-15,17 38 57.3713,-18 17 35.788,17.03
IC 1295,18 54 37.1482,-08 49 37.419,1.168
PN A66    2,00 45 34.678,+57 57 34.88,3.669
PN M  2-15,17 46 54.449,-16 17 24.80,7.712
[JCH96] NGC  4565 g,12 35 56.5582,+26 03 09.632,393.314
2MASS J05055161-7034436,05 05 51.5956,-70 34 43.679,178.253
IC 4663,17 45 28.6295,-44 54 17.987,3.507
[CJF89] NGC 3384 f,10 48 20.3258,+12 40 14.780,1013.274
WRAY 16-125,13 09 36.2390,-61 19 35.976,4.909
PN K  2-8,17 05 31.1715,-10 05 48.934,2718.869
PN A66   61,19 19 10.2027,+46 14 51.973,1559.089
Lan  21,19 44 59.1363,+22 45 47.753,392.203
PN KFL   19,18 23 08.890,-29 43 25.17,11.34
WRAY 15-619,10 39 08.6786,-51 24 12.651,1474.49
WRAY 16-44,09 22 06.7829,-54 09 39.462,5.133
PN A66    3,02 12 06.6635,+64 09 02.332,2.615
PN A66   39,16 27 33.7199,+27 54 33.471,1.189
PN M  1-26,17 45 57.6673,-30 12 00.766,2.225
IC  418,05 27 28.2059,-12 41 50.282,1.552
PN K  3-4,18 31 00.227,+02 25 27.35,4.603
SH  2-128,21 32 09.9,+55 52 53,1.294
PN Ba    1,03 53 36.549,+19 29 38.62,2.512
PN My   59,10 23 09.1381,-60 32 42.103,5.072
SH  2-68,18 24 58.4294,+00 51 36.021,408.847
EM* AS  281,18 10 43.8625,-27 57 50.104,5847.0
HD 148937,16 33 52.3869,-48 06 40.476,1188.072
PN DS    2,15 43 05.0418,-39 18 14.603,821.49
IC 4191,13 08 47.3071,-67 38 37.542,2.817
PN M  1-33,17 58 58.81,-15 32 14.8,7.364
PN M  1-44,18 16 17.3419,-27 04 30.536,10.44
PN M  2-20,17 54 25.32,-29 36 08.2,9.503
PN Sa  2-230,17 42 02.007,-15 56 07.46,7.156
WRAY 16-134,13 43 58.8254,-55 19 43.277,137.584
NGC  5307,13 51 03.2580,-51 12 20.835,3.272
MPA J1508-6455,15 08 06.4755,-64 55 48.798,4636.069
PN M  4-4,17 28 50.2977,-30 07 44.997,7.597
PN M  3-37,17 19 13.386,-25 17 17.55,16.8
IRAS 18454+0250,18 48 00.6605,+02 54 17.127,1505.117
V* BI Cru,12 23 25.9932,-62 38 15.988,3152.585
ESO 126-1,09 12 37.4477,-58 50 32.207,39.02
PN A66   44,18 30 11.242,-16 45 26.32,2.098
NGC  1360,03 33 14.6468,-25 52 17.977,0.355
WRAY 16-290,17 36 06.9416,-49 25 45.242,8.481
NGC  6337,17 22 15.6721,-38 29 01.735,1.369
PN M  2-11,17 20 33.27,-29 00 39.1,10.87
WRAY 16-200,16 00 59.14,-55 05 40.1,5.311
PN K  3-6,18 33 17.4969,+00 11 46.782,5.879
PN M  3-29,18 39 25.8182,-30 40 37.222,5.861
WRAY 16-182,15 25 32.6550,-52 50 37.942,10.33
PN Sn    1,16 21 04.3989,-00 16 10.680,8.604
NGC  7026,21 06 18.5723,+47 51 06.774,2.086
PN A66    8,05 06 38.4185,+39 08 08.668,1.668
Hen 2-436,19 32 06.7087,-34 12 57.520,4.992
PN K  1-1,08 31 52.633,-32 06 08.69,2.389
PN Vy  1-4,18 54 01.8931,-06 26 20.229,10.22
WRAY 16-413,18 31 52.8340,-24 46 17.691,15.88
WRAY 16-217,16 22 14.3332,-53 40 54.122,9.748
PN K  3-68,05 31 35.856,+28 58 41.55,6.774
IC 4593,16 11 44.5479,+12 04 17.031,3.232
[RP2006] J053228-704728,05 32 28.3038,-70 47 29.005,536.366
PN M  1-17,07 40 22.1724,-11 32 29.783,10.92
PN ARO  121,07 57 51.6169,+53 25 16.950,939.232
LEDA   86290,18 36 24.236,+10 18 46.72,49.5
NGC  6818,19 43 58.022,-14 09 13.44,2.079
PN K  3-37,19 33 46.75,+24 32 27.1,11.9
PN We  1-4,06 14 33.716,+07 34 29.87,4.573
PN G292.3+00.5,11 23 51.1593,-60 30 50.644,2993.116
PN LoTr    5,12 55 33.7471,+25 53 30.559,454.938
PN Lo    1,02 56 58.4329,-44 10 17.842,807.624
PN M  2-53,22 32 17.720,+56 10 26.12,5.433
PN K  3-65,04 15 54.53,+48 49 40.1,10.74
PN M  2-47,19 13 34.5440,+04 38 04.013,5.62
PN G097.6-02.4,21 57 41.7846,+51 41 39.289,11.14
PFP 1,07 22 17.6971,-06 21 45.982,534.188
PN M  2-5,17 02 19.0885,-33 10 04.843,8.229
PN M  2-2,04 13 15.0286,+56 56 58.407,5.662
PN K  2-5,17 54 26.179,-12 48 35.95,3.602
PN H  1-67,18 25 04.976,-22 34 52.64,7.86
EM* AS  345,19 14 04.1376,+17 31 33.124,6.826
PG 0057+155,00 59 56.6673,+15 44 13.740,0.837
WRAY 16-219,16 24 21.44,-54 36 03.2,4.909
V* CP Pup,08 11 46.0634,-35 21 04.986,813.14
IC 4732,18 33 54.6340,-22 38 41.382,6.88
WRAY 16-53,09 38 01.2104,-50 09 42.015,125.823
[RP2006] J053745-671153,05 37 45.6384,-67 11 53.218,195.668
PN BoBn    1,00 37 16.03,-13 42 58.6,17.52
PN A66   84,23 47 44.0543,+51 23 57.161,1.388
PN H  1-20,17 30 43.8092,-28 04 06.841,7.601
Hen 2-149,16 14 24.266,-54 47 38.82,13.12
M  76,01 42 19.6557,+51 34 31.534,1.436
PN PC   22,19 42 03.514,+13 50 37.33,3.721
THA 17-18,13 10 04.8535,-63 11 29.981,5035.247
PN Cn  2-1,17 54 33.010,-34 22 21.15,8.101
[MTK2008] W1693,12 48 25.9576,-05 46 53.062,1078.981
PN M  4-3,17 10 41.7794,-27 08 44.078,5.487
PN K  3-94,03 36 08.086,+60 03 46.29,8.162
PN A66   17,06 48 38.0151,-09 32 38.748,3100.0
PN M  1-75,20 04 44.1,+31 27 28,4.403
PN K  3-57,20 12 47.725,+34 20 32.79,5.599
[DSH2001] 333-3,17 22 31.1535,-38 08 09.294,1499.7
PN Sd    1,20 29 18.931,+40 15 20.60,5618.0
PN A66   21,07 29 02.7096,+13 14 48.587,0.248
PN M  1-13,07 21 15.037,-18 08 34.65,5.438
PN K  3-51,20 02 36.3437,+17 36 50.900,8.801
LBN 196.21-01.17,06 15 54.5,+14 17 57,3.89
PN K  4-47,04 20 45.2219,+56 18 12.115,10.36
PN A66   18,06 56 14.659,-02 53 07.81,1.609
PN Pe  1-5,16 15 20.127,-49 13 21.59,3.071
PN M  3-16,17 52 46.0471,-30 49 35.021,6.805
PN Me  2-2,22 31 43.6753,+47 48 03.836,12.33
Hen 2-427,19 11 30.8749,+16 51 38.200,0.696
PN A66   14,06 11 08.6567,+11 46 43.824,3.38
WRAY 16-135,13 45 22.3626,-71 28 56.118,7.175
PG 1520+525,15 21 46.5635,+52 22 03.867,771.962
IC 2149,05 56 23.9011,+46 06 17.204,3.113
PN M  3-34,19 27 01.8981,-06 35 04.739,6.726
UGCA  92,04 32 03.8366,+63 36 51.243,1.8
PN M  1-46,18 27 56.3175,-15 32 54.434,3.621
Hen 2-446,19 44 05.2594,+23 26 47.957,2287.283
PN Th  3-26,17 31 09.30,-28 14 50.4,7.566
PN M  1-14,07 27 56.5101,-20 13 22.650,6.49
PN A66   60,19 19 17.7906,-12 14 36.128,1.741
NGC  6807,19 34 33.53,+05 41 02.5,12.7
PN M  1-25,17 38 30.3160,-22 08 38.934,6.682
PN SB   38,18 03 29.0292,-39 21 26.876,4030.633
WRAY 16-147,14 11 52.0604,-51 26 24.187,4.721
PN H  1-53,18 05 57.43,-26 29 42.0,2.764
PN M  2-8,17 05 30.70,-32 32 08.1,9.369
EM* AS  200,08 28 27.9571,-39 23 40.041,4.675
PN K  3-49,19 54 00.6166,+33 22 12.491,14.3
PN Y-C  2-5,08 10 41.6412,-20 31 32.309,7.909
PN HaTr    7,17 54 09.4487,-60 49 57.659,1703.87
HD  55439,07 12 34.8109,-09 50 42.102,1237.317
PN A66   11,05 37 21.5669,+08 15 29.285,2901.0
ESO 512-20,14 44 56.9301,-23 47 39.726,45.75
PN M  1-22,17 35 10.239,-18 34 20.41,9.884
PN K  2-4,12 18 18.5,+11 03 08,253.0
2MASS J00425111+4048484,00 42 51.1205,+40 48 48.527,440.335
Hen 2-459,20 13 57.8909,+29 33 55.874,8.252
NGC  2610,08 33 23.4238,-16 08 57.796,2.241
PN M  3-25,18 15 16.967,-10 10 09.47,5.804
WRAY 16-218,16 23 30.6466,-58 19 22.800,20.12
NGC  6741,19 02 37.10,-00 26 56.7,3.714
PN K  4-9,18 53 41.1714,+28 32 12.473,197.957
PN M  1-47,18 29 11.1420,-21 46 54.068,7.807
PN K  1-11,07 36 07.9179,+02 42 27.543,1.586
PN K  2-2,06 52 23.1654,+09 57 55.772,0.451
PN M  1-55,18 36 33.8579,-21 49 02.694,3.321
PN K  1-3,16 23 19.0090,-31 44 58.628,0.606
PN M  1-50,18 33 20.88,-18 16 37.1,6.052
IC 4637,17 05 10.47,-40 53 07.7,2.424
PN M  3-38,17 21 04.4699,-29 02 59.700,14.22
PN Hb    4,17 41 52.8002,-24 42 08.330,5.096
PN K  1-28,10 34 30.6203,-29 11 15.215,2.727
PN A66   23,07 43 17.984,-34 45 15.64,2.316
PN A66   12,06 02 20.045,+09 39 14.09,2.082
PN M  1-34,18 01 22.146,-33 17 45.21,5.101
PN K  1-16,18 21 52.1086,+64 21 53.406,0.913
RCW  90,15 05 59.2054,-55 59 16.581,3.589
PN A66   72,20 50 02.0523,+13 33 29.525,1.167
WRAY 16-139,13 52 30.6807,-66 23 26.577,3.813
PN H  2-43,18 12 47.9863,-28 19 59.741,5.173
GSC 02801-02082,00 42 53.3895,+40 52 15.987,680.643
RAFGL  618,04 42 53.6242,+36 06 53.400,3.613
PN A66   71,20 32 23.216,+47 20 50.41,0.74
PN Pe  1-20,18 57 17.351,-05 59 51.79,6.212
PN M  2-52,22 20 30.7797,+57 36 21.218,5.259
PN Th  4-11,18 00 08.7874,-17 40 43.334,19.54
V* V1023 Tau,04 18 47.0291,+28 20 07.493,127.393
Hen 2-325,18 01 06.3006,-26 21 26.097,1602.821
PN M  1-16,07 37 18.902,-09 38 47.96,9.554
V* SV Car,09 48 20.6235,-59 32 11.643,1139.991
NGC  7408,22 55 56.8300,-63 41 40.813,48.65
IC 4634,17 01 33.5816,-21 49 33.015,3.97
PN K  3-78,20 45 22.6885,+50 22 39.860,8.638
[JCH96] NGC  4565 o,12 36 08.6743,+25 58 27.787,566.99
PN H  2-20,17 45 39.81,-25 40 00.3,9.557
PN M  1-31,17 52 41.4448,-22 21 57.159,5.157
WRAY 16-205,16 10 41.0035,-54 57 34.657,2.048
PN V-V  3-5,18 36 32.2456,-19 19 29.071,1490.313
PN M  4-8,18 12 09.6056,-10 42 58.355,14.95
PN M  1-48,18 29 30.0553,-19 05 43.953,10.14
PN K  3-82,21 30 51.4752,+50 00 08.465,3.221
PN K  3-61,21 30 00.7565,+54 27 27.195,7.416
PN Lo   16,17 35 41.8805,-40 11 26.481,1820.167
PN M  2-55,23 31 52.708,+70 22 10.11,2.292
PN Me  1-1,19 39 09.8202,+15 56 48.274,5.249
NGC  6803,19 31 16.4826,+10 03 21.620,5.334
PN K  3-27,19 14 29.9599,+28 40 45.294,4.807
PN M  1-42,18 11 04.99,-28 58 59.1,5.576
NGC  6565,18 11 52.4858,-28 10 42.421,4.714
PN H  1-54,18 07 07.2793,-29 13 05.972,12.48
PN KFL   16,18 16 53.9673,-26 23 24.102,7.151
IC 5117,21 32 30.9691,+44 35 47.540,8.243
PN PC   23,19 51 52.72,+32 59 17.8,13.0
WRAY 16-16,08 11 31.800,-48 43 17.70,1.764
PN M  2-26,18 03 11.92,-26 58 31.2,8.39
PN M  1-52,18 33 58.50,-14 52 26.6,7.049
2MASS J06014204-7108094,06 01 42.0653,-71 08 09.411,111.807
PN H  1-2,16 48 54.1065,-35 47 08.952,5.419
PN H  1-42,17 57 25.1720,-33 35 43.132,6.197
PN DdDm    1,16 40 18.1517,+38 42 20.033,26.0
PN Pe  2-2,09 09 03.6721,-44 17 44.447,2973.536
PN M  3-22,18 02 19.238,-30 14 25.38,7.803
PN Mz    3,16 17 13.3915,-51 59 10.711,1.496
HD 184738,19 34 45.2337,+30 30 58.950,2.956
NGC  6886,20 12 42.8301,+19 59 22.632,5.159
PN Na    1,17 12 51.8802,-03 15 59.829,7.328
NGC  6072,16 12 58.3635,-36 13 47.395,1.241
PN K  3-43,19 40 25.908,+18 49 14.20,24.09
PN A66   30,08 46 53.4639,+17 52 46.369,1.722
PN M  3-20,17 59 19.35,-28 13 48.2,7.744
PN M  4-10,18 34 13.85,-13 12 24.7,9.668
NGC  3242,10 24 46.1335,-18 38 32.296,1.107
PN M  1-74,19 42 18.78,+15 09 08.3,9.43
EM* AS  201,08 31 42.8828,-27 45 31.543,2406.16
ESO 215-39,11 17 04.215,-49 12 05.26,47.64
PN M  1-27,17 46 45.4755,-33 08 35.133,4.665
PN Pu    1,05 52 48.4555,+28 05 59.155,2.066
SH  2-167,23 35 30,+64 52.3,6.8
PN A66   13,06 04 47.896,+03 56 35.76,1.203
[JCH96] NGC  4565 v,12 36 46.5239,+26 00 35.642,467.836
NGC  3699,11 27 57.8398,-59 57 28.454,1.988
PN M  2-9,17 05 37.9615,-10 08 32.506,2.132
PN M  3-28,18 32 41.288,-10 05 50.03,5.31
NGC  6309,17 14 04.3074,-12 54 37.893,2.767
WRAY 16-94,11 31 45.4605,-65 58 14.143,4.617
PN M  2-7,17 05 13.91,-30 32 19.7,7.24
PN Ps    1,21 29 59.3972,+12 10 26.275,10.12
NGC  2371,07 25 34.6883,+29 29 26.430,1.874
JaSt2  4,17 42 28.0559,-27 13 31.779,1412.03
PN H  2-11,17 29 25.9611,-25 49 07.205,10.93
NGC   246,00 47 03.3420,-11 52 18.971,0.48
M  97,11 14 47.7122,+55 01 08.482,0.693
HD 141969,15 56 01.6950,-66 09 09.231,4.869
PN M  1-6,06 35 45.1241,-00 05 37.396,5.812
[RP2006] J053141-711346,05 31 41.9375,-71 13 46.865,266.553
PN Pe  2-1,09 04 10.8814,-44 32 52.577,2030.457
PN MaC  1-7,17 51 23.2198,-31 13 46.462,1371.93
VSP 2-30,19 13 17.6171,+15 39 20.949,333.823
IC 3568,12 33 06.8549,+82 33 50.202,3.941
PN G197.4-06.4,05 59 24.8669,+10 41 40.411,579.878
[RP2006] J053544-665122,05 35 44.2344,-66 51 21.892,404.629
ESO 455-139,17 39 02.9171,-28 56 35.634,3.617
NGC  5882,15 16 49.9562,-45 38 58.616,2.389
PN M  1-19,17 03 46.8491,-33 29 44.433,10.93
EM* AS  375,19 59 18.014,+31 54 39.14,3313.0
[JCH96] NGC  4278 i,12 19 35.6763,+29 22 35.493,677.92
PN M  1-59,18 43 20.20,-09 04 49.1,5.482
PN K  3-14,18 48 32.8112,+10 35 50.714,27.19
[RP2006] J053119-705422,05 31 19.7934,-70 54 22.240,396.087
PN PC   14,17 06 14.75,-52 30 00.5,6.147
CD-49 11554,17 35 02.4970,-49 26 26.379,4205.214
PN M  3-2,07 14 49.9223,-27 50 23.233,8930.0
PN K  3-40,19 36 21.81,+23 39 47.7,8.896
PN M  3-41,17 25 59.82,-29 21 50.4,6.632
PN Dd    1,20 08 43.080,+42 30 11.19,4.309
WRAY 15-1341,15 41 58.83,-56 36 25.6,3.866
THA 17-3,12 53 30.9035,-61 51 32.396,2033.76
IRAS 18348-0616,18 37 30.420,-06 14 14.49,7.7
M  27,19 59 36.3631,+22 43 16.312,0.242
PN K  3-54,20 04 58.6341,+25 26 37.272,23.43
PN HDW    7,07 55 11.3069,+09 33 09.181,152.0
WRAY 16-88,11 24 01.0442,-52 51 19.386,11.71
[CJH91] NGC 1023 r,02 40 05.8093,+39 03 48.610,579.072
NGC  6629,18 25 42.4541,-23 12 10.551,2.399
WRAY 16-172,15 18 20.7584,-59 38 17.324,6389.776
Z 397-5,19 45 34.82,+05 33 51.7,53.46
PN Th  3-12,17 25 06.126,-29 45 16.97,19.36
PN M  1-7,06 37 20.9195,+24 00 35.467,6.745
PN A66   59,19 18 40.003,+19 34 32.95,1.432
WRAY 16-144,14 05 36.75,-64 41 00.7,3.459
PN Vy  2-3,23 22 57.9043,+46 53 58.073,12.63
PN Pe  1-11,18 01 42.8863,-33 15 28.314,6.568
PN M  4-5,17 34 54.72,-26 35 57.3,8.05
[CJF89] NGC 3379 e,10 47 53.4953,+12 35 35.991,357.667
NGC  7139,21 46 08.586,+63 47 29.45,1.401
WRAY 16-92,11 28 47.3900,-60 06 36.668,6.74
PN A66   70,20 31 33.2075,-07 05 18.034,2.403
WRAY 16-163,15 06 01.90,-61 21 19.0,2.396
PN K  3-53,20 03 22.46,+27 00 54.8,6.273
PN H  1-9,17 21 31.9113,-30 20 48.608,10.05
PN M  1-41,18 09 30.10,-24 12 26.0,0.858
PN H  1-50,18 03 53.5082,-32 41 42.015,10.68
NGC    40,00 13 01.0170,+72 31 19.033,1781.9
NGC  6765,19 11 06.5583,+30 32 43.674,2.361
PN Fg    1,11 28 36.2243,-52 56 04.118,3.163
PN K  1-17,19 03 37.3621,+19 21 22.436,3.182
PN H  1-27,17 40 17.9448,-22 19 18.212,7.762
PN M  3-23,18 07 06.16,-30 34 17.8,4.302
EGB  4,06 29 33.9600,+71 04 36.394,371.996
CPD-57  2561,10 02 16.0088,-58 13 50.061,2511.301
NGC  7009,21 04 10.8155,-11 21 48.580,1.376
2MASS J00403465+4142071,00 40 34.6503,+41 42 07.165,299.5
PN M  3-43,17 50 24.34,-29 25 18.5,8.626
NGC  2867,09 21 25.3832,-58 18 40.626,2.254
EGGR 900,01 11 06.5712,+10 21 38.183,297.362
TK 1,08 27 05.5323,+31 30 08.311,551.177
PN M  3-45,17 52 05.96,-30 05 14.0,6.708
PN M  1-63,18 51 30.962,-13 10 36.58,9.884
PN K  4-11,19 03 33.9693,+08 44 24.259,772.26
PN VV   28,06 25 57.2710,+17 47 27.136,3.889
PN A66   46,18 31 18.5910,+26 56 12.110,2.245
NGC  2661,08 45 59.5736,+12 37 11.498,61.3
PN Hu  2-1,18 49 47.5610,+20 50 39.396,6.898
PN K  3-29,19 15 30.5684,+14 03 49.876,6.159
PN H  2-7,17 23 24.936,-28 59 06.05,10.13
SH  2-216,04 43 21.2638,+46 42 05.835,127.559
PN H  2-24,17 48 36.54,-24 16 34.8,8.916
PN PB    4,09 15 07.7471,-54 52 43.872,3.723
WRAY 16-156,14 33 17.97,-60 49 36.3,3.759
PN A66   35,12 53 32.7857,-22 52 22.569,0.227
[W65] c18,11 38 05.0961,-62 16 01.900,4492.363
PN M  2-21,17 58 09.58,-29 44 20.1,10.28
WRAY 16-66,10 07 23.6183,-63 54 30.063,4.447
PN M  1-57,18 40 20.2561,-10 39 47.216,4.557
PN A66   69,20 19 58.343,+38 24 02.16,4.255
WRAY 16-195,15 59 08.85,-58 23 52.8,3.834
PN VV  201,18 42 57.0075,-11 06 53.298,5.386
Hen 1-1,19 23 46.85,+21 06 37.5,7.979
FP J1912-0331,19 12 31.4741,-03 31 31.861,124.474
PN Bl  2-1,22 20 16.6272,+58 14 16.562,7.693
IRAS 17448-2131,17 47 48.4590,-21 32 11.164,819.538
IC 2501,09 38 47.1901,-60 05 30.807,2.815
NGC  7076,21 26 23.540,+62 53 31.83,1.886
NGC  7008,21 00 32.8176,+54 32 35.376,0.876
WRAY 16-46,09 24 45.8351,-54 36 15.511,4.045
PN M  3-10,17 27 20.19,-28 27 51.2,9.442
LBN 151.25+02.12,04 19 44.5,+53 08 50,4.5
WRAY 16-59,09 47 24.7963,-48 58 14.652,3.039
SV* HV  6516,14 15 59.6792,-61 53 50.267,1258.65
WRAY 16-174,15 19 29.6168,-57 22 25.201,2302.556
PN H  2-33,17 58 12.5489,-31 08 06.374,7.744
PN H  2-10,17 27 32.86,-28 31 06.9,14.23
[JCH96] NGC  4494 f,12 31 36.9908,+25 40 11.678,467.858
PN Pe  1-1,10 38 27.5856,-56 47 07.226,6.569
PN G114.0-04.6,23 45 47.7500,+57 03 58.443,1.745
PN M  1-11,07 11 16.6948,-19 51 02.898,4.975
PN M  3-26,18 16 11.44,-27 14 58.3,7.637
PN H  1-31,17 45 31.9673,-34 33 54.807,8.136
PN PC   21,18 45 35.215,-20 34 58.32,4.156
LSPM J0040+4135,00 40 13.8044,+41 35 29.030,82.86
PN PB   10,19 28 14.487,+12 19 37.11,4.274
PN G001.1+00.0,17 48 45.9960,-27 57 38.135,1557.875
IRAS 18461-0309,18 48 46.5434,-03 05 40.668,7.4
WRAY 16-184,15 38 01.2337,-58 44 42.445,3.474
NGC  7662,23 25 53.8318,+42 32 05.835,1757.47
PN M  2-42,18 22 32.08,-24 09 27.7,9.553
PN M  1-71,19 36 26.9207,+19 42 24.018,4.291
WRAY 16-157,14 40 30.9314,-52 34 56.917,3.085
PN H  1-15,17 28 37.6286,-24 51 07.218,9.157
IC 4699,18 18 32.0450,-45 59 01.735,7.781
TYC 6844-2864-1,18 23 36.8784,-22 36 22.551,2066.543
FP J1824-0319,18 24 40.8539,-03 19 59.515,195.244
PN SuWt    2,13 55 43.2309,-59 22 39.812,2258.356
PN H  2-41,18 12 23.765,-27 52 13.86,8.732
PN A66   74,21 16 52.3412,+24 08 51.095,657.722
NGC  2579,08 20 55.3,-36 13 23,890.0
HD 316989,18 01 30.2486,-29 19 29.611,1661.406
PN ShWi    2,18 03 03.4174,-29 46 16.391,3210.273
PN A66   78,21 35 29.3816,+31 41 45.449,1.64
NGC  5408,14 03 20.907,-41 22 39.75,4.81
NGC  2438,07 41 50.5194,-14 44 07.470,1.301
PN Hu  1-1,00 28 15.435,+55 57 54.48,7.547
NGC  6751,19 05 55.5383,-05 59 32.288,2.653
2MASS J05422123+2236471,05 42 21.2357,+22 36 47.043,1396.063
IRAS 18067-2746,18 09 51.0497,-27 46 00.698,1080.03
IC 1297,19 17 23.4475,-39 36 46.253,4.965
PN M  3-9,17 25 43.3720,-26 11 55.407,3.362
WRAY 16-8,07 47 20.0414,-51 15 03.432,9.814
PN M  3-17,17 56 25.65,-31 04 17.2,11.71
PN H  3-29,04 37 23.565,+25 02 43.90,3.459
WRAY 15-344,09 13 52.85,-55 28 17.2,12.64
PN K  3-70,05 58 45.3548,+25 18 43.910,19.61
[B61]  9,17 45 55.1802,-26 58 10.817,3289.474
PN We  1-6,07 17 26.0425,-10 10 36.939,3.27
PN M  2-51,22 16 03.890,+57 28 33.75,1.969
WRAY 16-224,16 29 59.70,-54 09 28.0,2.046
NGC  6285,16 58 24.016,+58 57 21.23,82.3
WRAY 16-169,15 11 56.56,-55 39 46.6,2.684
PN G050.5+00.0,19 24 14.5596,+15 39 11.192,5.4
IC 5148,21 59 35.0865,-39 23 08.233,1.08
PN Th  2-A,13 22 33.9621,-63 21 02.014,2.5
NGC  4361,12 24 30.7510,-18 47 05.567,0.898
[CJH91] NGC 1023 s,02 40 15.3429,+39 05 26.663,1120.951
PN M  3-5,08 02 28.9545,-27 41 55.197,7.292
NGC  3195,10 09 20.910,-80 51 30.73,1.998
PN Bl M,17 53 47.118,-28 27 17.11,8.45
[RP2006]  277,05 41 26.7172,-68 48 01.426,160.238
NGC  6826,19 44 48.1500,+50 31 30.249,1.624
PN Lo    4,10 05 45.7880,-44 21 33.523,3.916
PN H  2-15,17 34 26.817,-22 53 19.71,15.54
ESO 495-21,08 36 15.190,-26 24 33.66,7.8
[RP2006] J053612-711724,05 36 12.0463,-71 17 26.082,1947.8
[CJF89] NGC 3379 b,10 47 57.9646,+12 37 13.452,1024.066
PN M  3-42,17 26 59.85,-29 15 32.1,6.981
NGC  6905,20 22 22.9919,+20 06 16.285,1.782
PN M  2-43,18 26 40.0500,-02 42 57.364,3.215
PN K  4-48,06 39 55.842,+11 06 30.34,13.68
HD  62001,07 41 13.9029,-18 59 37.412,441.462
PN M  2-33,18 15 06.5634,-30 15 33.265,8.768
Ve 7-27,08 51 59.6873,-46 18 07.278,1405.679
PN MeWe  2-4,14 01 15.2567,-50 40 12.438,1158.614
PN H  1-60,18 12 25.22,-27 29 12.8,10.28
PN K  1-14,17 42 36.7639,+21 27 02.439,3.452
PN A66    5,02 52 15.071,+50 35 54.06,1.677
PN Fg    3,18 00 11.8162,-38 49 52.619,8.369
SH  2-4,17 18 23.9,-39 19 10,14.3
PN A66   66,19 57 31.5028,-21 36 46.209,0.579
PN K  4-39,19 53 05.7562,+23 13 36.026,15640.0
WRAY 16-136,13 49 32.5623,-61 31 42.272,3598.417
IRAS 20490+5934,20 50 13.5738,+59 45 51.124,484.848
PN K  3-72,06 23 54.880,+05 30 12.88,10.61
PN Hf  2-1,17 51 12.149,-34 55 24.31,6.236
PN A66   33,09 39 09.1418,-02 48 30.486,0.763
NGC  6879,20 10 26.6930,+16 55 21.272,7.781
PN We  2-262,23 52 18.0,+62 32 11,1625.0
GPM 185.184111+29.334027,12 20 44.1558,+29 20 02.188,2010.454
WRAY 16-220,16 24 37.79,-53 22 34.1,5.375
PN M  2-6,17 04 18.3283,-30 53 28.881,6.063
PN K  4-20,19 13 31.6239,+07 27 21.817,1367.802
NGC  6790,19 22 56.9729,+01 30 46.401,3.906
WRAY 15-1269,14 59 53.4819,-54 18 07.521,2072.968
Hen 2-447,19 45 22.1637,+21 20 03.923,6.116
PN Hu  1-2,21 33 08.3106,+39 38 09.554,3.355
WD 2218+706,22 19 33.6826,+70 56 03.182,335.312
[JCH96] NGC  4565 l,12 35 51.0562,+25 57 17.128,2309.469
NGC  2022,05 42 06.1904,+09 05 10.585,2.58
PN M  4-2,07 28 53.8248,-35 45 14.036,7.047
HD 316285,17 48 14.0372,-28 00 53.121,3322.26
HD 330036,15 51 15.9290,-48 44 58.559,8.167
NGC  1514,04 09 16.9855,+30 46 33.470,0.652
PN K  3-31,19 19 02.6456,+19 02 21.008,9.599
GRS G328.59 -00.52,15 59 28.4,-53 44 57,3.27
IC 4406,14 22 26.1440,-44 09 02.185,2.628
PN Y-C  2-17,15 08 20.7348,-23 14 50.474,1588.815
PN HaWe    5,03 45 26.6811,+37 48 52.217,320.821
NGC  2899,09 27 03.02,-56 06 21.1,1.026
PN K  3-33,19 22 26.6674,+10 41 21.260,15.18
PN A66    1,00 12 55,+69 10.4,2.564
WRAY 16-73,10 35 36.6900,-60 38 43.914,2857.143
CD-56  2932,09 43 25.6321,-57 16 55.530,2.455
[D75b] Em* 21-021,21 29 58.4711,+51 04 00.323,3735.525
HD 149427,16 37 42.7000,-55 42 26.393,6.576
[CJH91] NGC 1023 m,02 40 11.4605,+39 03 22.674,1150.483
PN M  1-38,18 06 05.74,-28 40 30.0,6.607
PN M  3-14,17 44 20.62,-34 06 40.6,5.765
PN SaWe    2,17 27 00.197,-27 40 35.11,2.334
M  57,18 53 35.0967,+33 01 44.883,0.842
NGC  6644,18 32 34.7028,-25 07 44.158,6.131
IC 4997,20 20 08.7557,+16 43 53.698,6.041
NGC  5189,13 33 32.8780,-65 58 27.041,0.678
PN H  1-8,17 14 42.93,-33 24 47.4,8.984
NGC  6781,19 18 28.085,+06 32 19.29,0.714
PN A66   20,07 22 57.6730,+01 45 33.942,2.0
PN K  3-1,18 23 21.73,+03 36 28.2,7.744
PN K  4-10,18 59 03.7591,+20 37 01.120,6.151
PN KFL   10,18 08 01.312,-26 54 01.52,9.884
V* AB Lep,05 55 06.6090,-22 54 02.422,1818.182
PN K  3-13,18 45 24.6682,+02 01 25.376,8.25
[JCH96] NGC  4565 q,12 36 03.5245,+26 04 15.713,992.556
PN Sa  3-151,18 58 51.7175,-00 32 54.195,1255.966
EGB  5,08 11 12.7657,+10 57 17.099,627.668
